month,indicator,value
2018-01,ppi,4.3
2018-01,sf_enterprise,17551.41
2018-01,sf_government,0.0
2018-01,sf_household,9172.7
2018-01,us_cpi,2.1
2018-02,cpi,2.9
2018-02,industrial_production,7.2
2018-02,lpr_1y,4.3
2018-02,m0,13.5
2018-02,m1,8.5
2018-02,m2,8.8
2018-02,pmi,50.3
2018-02,ppi,3.7
2018-02,sf_enterprise,7446.94
2018-02,sf_government,1.5
2018-02,sf_household,2750.88
2018-02,us_cpi,2.2
2018-03,cpi,2.1
2018-03,industrial_production,6.0
2018-03,lpr_1y,4.3
2018-03,m0,6.0
2018-03,m1,7.1
2018-03,m2,8.2
2018-03,pmi,51.5
2018-03,ppi,3.1
2018-03,retail_sales,10.1
2018-03,sf_enterprise,5659.56
2018-03,sf_government,10.6
2018-03,sf_household,5764.17
2018-03,us_cpi,2.4
2018-04,cpi,1.8
2018-04,industrial_production,7.0
2018-04,lpr_1y,4.31
2018-04,m0,4.5
2018-04,m1,7.2
2018-04,m2,8.3
2018-04,pmi,51.4
2018-04,ppi,3.4
2018-04,retail_sales,9.4
2018-04,sf_enterprise,5725.77
2018-04,sf_government,23.8
2018-04,sf_household,5283.88
2018-04,us_cpi,2.5
2018-05,cpi,1.8
2018-05,industrial_production,6.8
2018-05,lpr_1y,4.31
2018-05,m0,3.6
2018-05,m1,6.0
2018-05,m2,8.3
2018-05,pmi,51.9
2018-05,ppi,4.1
2018-05,retail_sales,8.5
2018-05,sf_enterprise,5255.16
2018-05,sf_government,24.3
2018-05,sf_household,6142.71
2018-05,us_cpi,2.8
2018-06,cpi,1.9
2018-06,industrial_production,6.0
2018-06,lpr_1y,4.31
2018-06,m0,3.6
2018-06,m1,6.0
2018-06,m2,8.3
2018-06,pmi,51.5
2018-06,ppi,4.7
2018-06,retail_sales,9.0
2018-06,sf_enterprise,9736.84
2018-06,sf_government,32.0
2018-06,sf_household,7057.4
2018-06,us_cpi,2.9
2018-07,cpi,2.1
2018-07,industrial_production,6.0
2018-07,lpr_1y,4.31
2018-07,m0,3.6
2018-07,m1,5.1
2018-07,m2,8.5
2018-07,pmi,51.2
2018-07,ppi,4.6
2018-07,retail_sales,8.8
2018-07,sf_enterprise,6500.83
2018-07,sf_government,43.5
2018-07,sf_household,6343.66
2018-07,us_cpi,2.9
2018-08,cpi,2.3
2018-08,industrial_production,6.1
2018-08,lpr_1y,4.31
2018-08,m0,3.3
2018-08,m1,3.9
2018-08,m2,8.2
2018-08,pmi,51.3
2018-08,ppi,4.1
2018-08,retail_sales,9.0
2018-08,sf_enterprise,6126.53
2018-08,sf_government,35.9
2018-08,sf_household,7012.34
2018-08,us_cpi,2.7
2018-09,cpi,2.5
2018-09,industrial_production,5.8
2018-09,lpr_1y,4.31
2018-09,m0,2.2
2018-09,m1,4.0
2018-09,m2,8.3
2018-09,pmi,50.8
2018-09,ppi,3.6
2018-09,retail_sales,9.2
2018-09,sf_enterprise,6853.11
2018-09,sf_government,39.5
2018-09,sf_household,7479.97
2018-09,us_cpi,2.3
2018-10,cpi,2.5
2018-10,industrial_production,5.9
2018-10,lpr_1y,4.31
2018-10,m0,2.8
2018-10,m1,2.7
2018-10,m2,8.0
2018-10,pmi,50.2
2018-10,ppi,3.3
2018-10,retail_sales,8.6
2018-10,sf_enterprise,1502.86
2018-10,sf_government,31.8
2018-10,sf_household,5636.15
2018-10,us_cpi,2.5
2018-11,cpi,2.2
2018-11,industrial_production,5.4
2018-11,lpr_1y,4.31
2018-11,m0,2.8
2018-11,m1,1.5
2018-11,m2,8.0
2018-11,pmi,50.0
2018-11,ppi,2.7
2018-11,retail_sales,8.1
2018-11,sf_enterprise,5763.87
2018-11,sf_government,-1.5
2018-11,sf_household,6559.98
2018-11,us_cpi,2.2
2018-12,cpi,1.9
2018-12,industrial_production,5.7
